DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
1753;017530;Ilford HP5 PLUS 400 HP5+ (black box);;Ilford ltd;;Made in UK;1989;~2004;;0;HP5plusfirst.jpg
1753;017530;Ilford HP5 PLUS 400 HP5+ (Black&white box);New B&W box;Harman Technologies;;Made in UK;2018;;;2;IlfordHP5plus2018.jpg
1753;017530;Ilford HP5 PLUS 400 HP5+ (Press or propack);"Sold by big ""propack"", 50 films, no individual box";Ilford ltd;;Made in UK;~1989 ?;;;1;HP5plusPress.jpg
1753;017530;Ilford HP5 PLUS 400 HP5+ (white box);;Ilford ltd;;Made in UK;~2004;2018;;0;Hp5plusactual.jpg
1753;;Ilford HP5 PLUS 400 motion picture version HP5+;;Ilford ltd;;Made in UK;;2003;;0;
;;Ilford HPS 400 ASA;the fastest film in the world;Ilford ltd;;Made in UK;1952 (plate), 1954 (films);~1960;;0;IlfordHPS.jpg
;;Ilford HPS 800 ASA;;Ilford ltd;;Made in UK;1960;~1970;;0;
;;Ilford HPX Panchromatic Xray film;35 & 70mm. For X ray screen photography;Ilford ltd;;Made in UK;~1940;;;0;IlfordHPX.jpg
;;Ilford HR Cine film;;Ilford ltd;;Made in UK;1959;1965 ?;;0;
;;Ilford HRT Cine film;;Ilford ltd;;Made in UK;1965;;;0;
;;Ilford Hyper-Chromatic Hyperchromatic;Sheet, technical;Ilford ltd;;Made in UK;;;;0;
;;Ilford Hyperpan Aerial;;Ilford ltd;;Made in UK;;;;0;
;;Ilford Ilfacolor Colour Film 32 ASA;;Ilford / Imperial Chemical Industries Ltd.;;Made in UK;1960;1962 ?;;0;
;;Ilford Ilfex X-ray film #xray;Non-screen film of extremely high speed & max definition;Ilford ltd;;Made in UK;;;;0;
;;Ilford Ilfochrome;New name of Ilfachrome;Ilford ltd;;Made in UK;1962;1965;Ilford Limited, GB;0;
;;Ilford Ilfochrome 100;Agfachrome CT (E-6);Agfa-Gevaert;3;;1987;1988;Ilford Limited, GB (Only in GB);0;Ilfochrome100sakura.jpg
;;Ilford Ilfochrome 100;Sakurachrome R-100 (E-4);Konishiroku (Konica);3;Made in Japan;1982;1985;Ilford Limited, GB;0;Ilfochrome100sakura.jpg
;;Ilford Ilfochrome 1000;Agfachrome CT (E-6);Agfa-Gevaert;3;;1987 ?;1988;Ilford Limited, GB (Only in GB);0;
;;Ilford Ilfochrome 200;Agfachrome CT (E-6);Agfa-Gevaert;3;Made in Germany;1987;1988;Ilford Limited, GB (Only in GB);0;Ilfochrome200.jpg
;;Ilford Ilfochrome 25 Colour Reversal;Only 8mm cine ?;Ilford ltd ?;;Made in UK;1962;;Ilford, GB;0;
;;Ilford Ilfochrome 32 Colour Reversal Film (32 ASA);;Ilford ltd ?;;Made in UK;1962;1965;Ilford, GB;0;Ilfochrome32.jpg
;;Ilford Ilfochrome 50;Agfachrome CT (E-6);Agfa-Gevaert;3;;1987;1988;Ilford Limited, GB (Only in GB);0;
;;Ilford Ilfochrome Colour Film (32 ASA);;Ilford ltd;;Made in UK;1962;;Ilford, GB;0;
;;Ilford Ilfochrome Colour Reversal Film ;;Ilford ltd;;Made in UK;~1960;;Ilford, GB;0;
;;Ilford Ilfochrome Display Film (Translucent base);For backlit displays. ;;;;;;;1;
;;Ilford Ilfochrome Micrographics Control Strips TEST T5;Pre-exposed 35mm test strips for process P-5.;Ilford AG;;Fribourg, Switzerland ;1991;;Ilford;0;
;;Ilford Ilfochrome Micrographics Type M CMM.F4;High resolution High Contrast direct positive color film, process P-5. 16 to 105mm. Renamed later Cibachrome Micrographic.;Ilford AG;;Fribourg, Switzerland ;1991;;Ilford;0;IlfochromeMicrographic.jpg
;;Ilford Ilfochrome Micrographics Type M CMM.F7;High resolution High Contrast direct positive color film, process P-5. 16 to 105mm. Renamed later Cibachrome Micrographic.;Ilford AG;;Fribourg, Switzerland ;1991;;Ilford;0;IlfochromeMicrographic.jpg
;;Ilford Ilfochrome Micrographics Type P CMP.F4;High resolution Medium Contrast direct positive color film, process P-5. Large sheet. Renamed later Cibachrome Micrographic.;Ilford AG;;Fribourg, Switzerland ;1991;;Ilford;0;IlfordMicrographicSheet.jpg
;;Ilford Ilfochrome Micrographics Type P CMP.F4;High resolution Medium Contrast direct positive color film, process P-5. Large sheet. Renamed later Cibachrome Micrographic.;Ilford AG;;Fribourg, Switzerland ;1991;;Ilford;0;IlfordMicrographicSheet.jpg
;;Ilford ILFOCLEAR Display Transparencies ICD.F7;For digital and analog color printing. Clear base, RA-4 process;Ilford (CIBA?);;;90’s ??;Mid 2010’s?;Ilford Imaging;0;
;;Ilford Ilfocolor 100;Konica Color SR or Sakuracolor II;Konishiroku (Konica);3;Made in Japan;1983;1984;Ilford Limited, GB;0;
0512;005128;Ilford Ilfocolor 100 plus;Solaris FG;Ferrania;3;;Mid-2000’s ?;2008;Ilford, GB (Only in Italy);0;IlfordIlfocolor100Plus.jpg
1361;013614;Ilford Ilfocolor 100 plus;Imation HP 100;3M / Ferrania;3;;90’s ?;Mid-2000’s ?;Ilford, GB (Only in Italy ?);0;Ilfocolor100plusFirst.jpg
;;Ilford Ilfocolor 200;;;;;1983;1984;Ilford Limited, GB;0;
;;Ilford Ilfocolor 200 plus;Solaris FG;Ferrania;3;;2001;2008;Ilford, GB (Only in Italy);0;
;;Ilford Ilfocolor 400;Konica Color SR;Konishiroku (Konica);3;Made in Japan;1983;1984;Ilford Limited, GB;0;Ilfocolor400.jpg
1396;013963;Ilford Ilfocolor 400 plus;Solaris FG;Ferrania;3;;2001;2008;Ilford, GB (Only in Italy);0;
;;Ilford Ilfocolor HR100;Agfacolor XR;Agfa-Gevaert;3;Made in Germany;1985;1988;Ilford Limited / CIBA;0;IlfordHR100germany.jpg
;;Ilford Ilfocolor HR100;Konica Color SR 100;Konishiroku (Konica);3;Made in Japan;1984;1985;Ilford Limited, GB;0;IlfordHR100germany.jpg
;;Ilford Ilfocolor HR1000;;;;;80's;80's;ILFORD Limited Mobberley Cheshire, a CIBA-CEIGY company;0;IlfocolorHR1000.jpg
;;Ilford Ilfocolor HR200;Agfacolor XR;Agfa-Gevaert;3;;1985;1988;Ilford, GB;0;
;;Ilford Ilfocolor HR400;Agfacolor XR;Agfa-Gevaert;3;;1985;1988;Ilford, GB;0;IlfocolorHR400.jpg
;;Ilford Ilfocolor MKI Colour Film;;Ilford / Imperial Chemical Industries Ltd.;;Made in UK;1960;1962;;0;IlfocolorMKI.jpg
;;Ilford Ilfocolor MKII Colour Film;;Ilford / Imperial Chemical Industries Ltd.;;Made in UK;1962;1965;;0;IlfocolorMKI.jpg
0273;002734;Ilford Ilfocolor Super HR100;Agfa Emulsion;Agfa;2;;1988 ?;90’s ?;Ilford Limited / CIBA;0;IlfocolorSuperHR100.jpg
;;Ilford Ilfocolor Super HR100;;;;Made In ECC;1988 ?;;Ilford Limited / CIBA;0;ilfocolorsuper
;;Ilford Ilfoline IN.3 (.003 acetate base) #IN3;High contrast Low Speed Copy Film, Ortho;Ilford ltd;;Made in UK;~1969 ?;;;0;
;;Ilford Ilfoline IN.4 (.004 acetate base) #IN4;High contrast Low Speed Copy Film, Ortho;Ilford ltd;;Made in UK;~1969 ?;;;0;
;;Ilford Ilfoline IN.5 (.005 acetate base) #IN5;High contrast Low Speed Copy Film, Ortho;Ilford ltd;;Made in UK;~1969 ?;;;0;
;;Ilford Ilfolith Contact IC4 / IC7;;Ilford ltd;;Made in UK;;;Ilford, GB;0;IlfordIC4.jpg
;;Ilford Ilfolith Contact IH4;Technical film, only in sheet;Ilford ltd;;Made in UK;;;Ilford, GB;0;IlfordIH4.jpg
;;Ilford Ilfolith special IHS4 lith ;Technical film, only in sheet;Ilford ltd;;Made in UK;;;Ilford, GB;0;
;;Ilford Ilforep IT-4 (.004 acetate base) #it4;Copy film ?;Ilford ltd;;Made in UK;;;;0;
;;Ilford Ilforep IT-7 (.007 acetate base) #it7;Copy film ?;Ilford ltd;;Made in UK;;;;0;
;;Ilford Ilfostar IS-4 #IS4;High contrast Low Speed Copy Film, Ortho;Ilford ltd;;Made in UK;;;;0;
;;Ilford Ilfostar IS-4D #IS4d;High contrast Low Speed Copy Film, Ortho;Ilford ltd;;Made in UK;;;;0;
;;Ilford ILFOTRANS Display Transparencies ITD.F7;For digital and analog color printing. Translucent base, RA-4 process;Ilford (CIBA?);;;90’s ??;Mid 2010’s?;Ilford Imaging;0;
;;Ilford Imperial Special Aero Survey Film;;Ilford;;;30’s;;;0;
;;Ilford Improved RX Recording Film - medium speed fine grain panchromatic;Technical film for oscilloscopes pictures;;;;~1960;;;0;
;;Ilford Iso-Zenith;;;;Made in England;~1930;;Ilford Limited;0;
;;Ilford K0 Nuclear Research Emulsion #K-0;Available in bottled emulsions and coated plates. Special emulsion for nuclear physics purposes.;Ilford ltd;;Harman Technologies;50’s ?;;;1;
;;Ilford K2 Nuclear Research Emulsion #K-2;Special emulsion for nuclear physics purposes. The film was used in Apollo 11 mission to measure the radiation exposure of the three astronauts;Ilford ltd;;Made in UK;50’s ?;;;2;
;;Ilford K5 Nuclear Research Emulsion #K-5;Available in bottled emulsions and coated plates. Special emulsion for nuclear physics purposes.;Ilford ltd;;Harman Technologies;50’s ?;;;2;
;;Ilford K5D Nuclear Research Emulsion #K-5-D;Available in bottled emulsions and coated plates. Special emulsion for nuclear physics purposes.;Ilford ltd;;Harman Technologies;50’s ?;;;2;
;;Ilford L Cine film;;Ilford ltd;;Made in UK;1975;;;0;
;;Ilford L4 Nuclear Research Emulsion #L-4;Available in bottled emulsions and coated plates. Special emulsion for nuclear physics purposes.;Ilford ltd;;Harman Technologies;50’s ?;;;2;
;;Ilford Line;Sheet, technical;Ilford ltd;;Made in UK;;;;0;
;;Ilford Litho-Neg Lithoneg;Sheet, technical;Ilford ltd;;Made in UK;;;;0;
;;Ilford Mark V #mark5 MKV MarkV;Cine film, close to HP4;Ilford ltd;;Made in UK;1965;;;0;
;;Ilford Mark V Motion Picture #MKV MK.V mark5 markV;Could be test batch for Hp5 sold as cheap cine film;Ilford ltd;;Made in UK;~1975;1976;Ilford, GB;0;
;;Ilford Micro-Neg Ortho #MicroNeg;Sheet (and rolls?), microfilm;Ilford ltd;;Made in UK;Mid 50’s ?;;;0;
;;Ilford Micro-Neg Pan #MicroNeg;Sheet and rolls, Microfilm;Ilford ltd;;Made in UK;Mid 50’s ?;;;0;IlfordMicroNegPan.jpg
;;Ilford N.30 Ordinary #N30;Technical film;Ilford ltd;;Made in UK;;;;0;
;;Ilford N.40 Process #N40;Technical film, plate only ?;Ilford ltd;;Made in UK;;;;0;
;;Ilford N.50 Thin film half tone #N50;Technical film, UV & blue sensitive;Ilford ltd;;Made in UK;1957;;;0;
;;Ilford N3.30 Fine Grain Ordinary Serie 2 thin base #n330;High contrast technical film;Ilford ltd;;Made in UK;;;;0;
;;Ilford N3.30M Fine Grain Ordinary Matt Serie 2 thin base #N330M;High contrast technical film;Ilford ltd;;Made in UK;;;;0;
;;Ilford N5.30 Fine Grain Ordinary Serie 2 #N530;High contrast technical film;Ilford ltd;;Made in UK;;;;0;
;;Ilford N5.30M Fine Grain Ordinary Matt Serie 2 #N530M;High contrast technical film;Ilford ltd;;Made in UK;;;;0;
;;Ilford N5.31 Fine Grain Ordinary Serie 2 #N531;High contrast technical film, blue sensitive;Ilford ltd;;Made in UK;;90’s ?;;0;IlfordN5-31.jpg
;;Ilford N5.31M Fine Grain Ordinary Matt Serie 2 #N531M;High contrast technical film, blue sensitive, with mask;Ilford ltd;;Made in UK;;90’s ?;;0;IlfordN5-31.jpg
;;Ilford N5.50 LINE #N550;High contrast technical film, UV & blue sensitive;Ilford ltd;;Made in UK;;;;0;IlfordLineN5.jpg
;;Ilford N8.30 Fine Grain Ordinary Series 2;Technical Sheet, UV & blue sensitive;Ilford ltd;;Made in UK;;;;0;
;;Ilford N8.40 Process #N840;Technical film;Ilford ltd;;Made in UK;;;;0;
1734;017340;Ilford OPTHALMIC;;Ilford ltd;;Made in UK;;;;0;
1758;017584;Ilford Ortho Plus Copy Film – ISO 80 (120 & 135) #Ortho+;Black and white, orthochromatic copy film in 135 & 120 format;Ilford ltd;;Made in UK;Oct 2019;;;2;IlfordOrthoPlus135.jpg
;;Ilford Ortho Plus Copy Film – ISO 80 (sheet) #Ortho+;Black and white, orthochromatic copy film, sheet.;Ilford ltd;;Made in UK;90’s ?;;;2;IlfordOrthoCopy.jpg
;;Ilford Pachro-Line Panchroline;Sheet, technical;Ilford ltd;;Made in UK;;;;0;
1746;017460;Ilford PAN 100 #Pan100;"""Based on FP4+ and HP5+ technology, but are produced to lower specifications and tolerances"" - David Carper, ILFORD Technical Service, dec 2002";Ilford - HARMAN technology Ltd;;Made in UK;~2002 ?;;;2;IlfordPan100.jpg
1747;017470;Ilford PAN 400 #pan400;"""Based on FP4+ and HP5+ technology, but are produced to lower specifications and tolerances"" - David Carper, ILFORD Technical Service, dec 2003";Ilford - HARMAN technology Ltd;;Made in UK;~2002 ?;;;2;IlfordPan400.jpg
1749;017490;Ilford PAN F (Black box, DX coded) #PanF Pan-F;;Ilford ltd;;Made in UK;~1983 ?;1992 ? Pan-F+ introduced;;0;ILfordPanFBlack.jpg
1745;017450;Ilford PAN F (Pl) (50 ASA) #Pan-F panf;;Ilford ltd;;Made in UK;;;;0;
;;Ilford PAN F (Press or Propack) #Pan-F PANF;"Sold by big ""propack"", 50 films, no individual box";Ilford ltd;;Made in UK;;;;1;
;;Ilford PAN F Cine Film ASA 25 #PANF Pan-F;;Ilford ltd;;Made in UK;1948;70's ?;;0;IlfordPanFcine.jpg
;;Ilford PAN F Cine Film Type 586 #PANF Pan-F;;Ilford ltd;;Made in UK;70's ?;~1990 ?;;0;
;;Ilford PAN F First Version (ASA 16) #Pan-F PANF;;Ilford ltd;;Made in UK;1948;1956;;0;IlfordPanFfirst.jpg
1757;017570;Ilford PAN F PLUS (50 ASA) (Black Box) #Pan-F PANF;;Ilford ltd;;Made in UK;1993;~2003;;0;IlfordPanFplusBlack.jpg
1757;017570;Ilford PAN F PLUS (50 ASA) (White Box) #Pan-F PanF;;Ilford ltd / HARMAN technology Ltd;;Made in UK;~2003;2018;;0;PanF50Plus.jpg
1757;017570;Ilford PAN F PLUS (Black&White box) #Pan-F PANF;New B&W box;HARMAN technology Ltd;;Made in UK;2018;;;2;ILfordPanF2018.jpg
;;Ilford PAN F Second Version ASA 25 #Pan-F PANF;;Ilford ltd;;Made in UK;1956;1967 ?;;0;IlfordPanF2d.jpg
;;Ilford PAN F Third Version ASA 50 #Pan-F PANF;;Ilford ltd;;Made in UK;1967 ?;~1983 ?;;0;IlfordPanF3d.jpg
;;Ilford Panchromatic Film 32ASA;;Ilford ltd;;Made in England;1930;;;0;IlfordPanchro30s.jpg
;;Ilford Panchromatic Positive Type 1;;Ilford ltd;;Made in UK;;;;0;
;;Ilford Process;Sheet, technical;Ilford ltd;;Made in UK;;;;0;
;;Ilford Process Panchromatic;;Ilford ltd;;Made in UK;30’s;;;0;
;;Ilford R5.50 Panchro-line #panchroline;Technical film;Ilford ltd;;Made in UK;;;;0;
;;Ilford Rapid Ortho-Line OrthoLine;Sheet, technical;Ilford ltd;;Made in UK;;;;0;
;;Ilford Recording 5B11;Rolls, technical;Ilford ltd;;Made in UK;50’s ?;2000’s ?;;0;
;;Ilford Recording 5B52;Rolls, technical;Ilford ltd;;Made in UK;50’s ?;;;0;
;;Ilford Recording 5G91, Orthochromatic green sensitive;Rolls, technical;Ilford ltd;;Made in UK;50’s ?;;;0;
;;Ilford Recording 5R101;Rolls, technical;Ilford ltd;;Made in UK;50’s ?;;;0;
;;Ilford Recording 8B01;Sheet, technical;Ilford ltd;;Made in UK;50’s ?;;;0;
;;Ilford Recording 8B21;Sheet, technical;Ilford ltd;;Made in UK;50’s ?;;;0;
;;Ilford Recording 8R101;Sheet, technical;Ilford ltd;;Made in UK;50’s ?;;;0;
;;Ilford Red Seal X-ray Film #xray;Very fast x-ray film;Ilford ltd;;Made in UK;50’s ?;;;0;
;;Ilford RX Recording Film - medium speed fine grain panchromatic;Technical film for oscilloscopes pictures;;;;~1950;;;0;
;;Ilford Selo Fast Film;;Ilford ltd;;Made in England;~1930;;;0;
;;Ilford Selo Film;;Ilford ltd;;Made in England;End of 20's ?;;;0;IlfordSelo.jpg
;;Ilford Selo Orthochromatic film;;Ilford ltd;;Made in England;~1930;;;0;IlfordSeloOrtho.jpg
;;Ilford Selochrome Black&White ;;Ilford ltd;;Made in England;~1968 ?;End of 70’s ?;;0;IlfordSelochromeLast.jpg
;;Ilford Selochrome C;;Ilford ltd;;Made in England;30's ;50's ??;;0;IlfordSeloC.jpg
;;Ilford Selochrome CF Special Fine Grain #C.F.;;Ilford ltd;;Made in England;30's ;50's ??;;0;IlfordSelochromeCF.jpg
;;Ilford Selochrome SC #S.C.;;Ilford ltd;;Made in England;~1935;1959;;0;IlfordSeloSC.jpg
;;Ilford Selochrome SP (Panchromatic) #S.P.;Remplaced Selochrome SC;Ilford ltd;;Made in England;1959;~1968;;0;IlfordSeloSP.jpg
1735;017350;Ilford SFX200;Near infrared film. New B&W box, same film;HARMAN technology Ltd;;Made in UK;2018;;;2;IlfordSFX2018.jpg
1735;017350;Ilford SFX200;Near infrared film. Re-introduced;Ilford - HARMAN technology Ltd;;Made in UK;2007;2018;;0;IlfordSFX200Black.jpg
1840;018400;Ilford SFX200;Near infrared film. ;Ilford ltd;;Made in UK;~1995 ?;2005;;0;
;;Ilford Slow Contact;Sheet, technical;Ilford ltd;;Made in UK;;;;0;
1748;017480;Ilford SP815T;Infrared. SFX 200 for trafic surveillance;Ilford ltd;;Made in UK;;;;0;IlfordSP816T.jpg
1733;017330;Ilford SP816T POLY;Near infrared for trafic surveillance. Based on Ilford SFX200;Ilford ltd;;Made in UK;;;;0;
;;Ilford Standard Dental X-ray Film #xray;;Ilford ltd;;Made in UK;;;;0;
;;Ilford Standard X-ray Film #xray;For general medical radiography;Ilford ltd;;Made in UK;50’s ??;;;0;
;;Ilford Studio (Super Sensitive);;;;Made in England;~1930;;Ilford Limited;0;
;;Ilford Super Colorprint;;Ilford ltd;;Made in UK;1966;1968;;0;
;;Ilford Super Colorslide Colour Reversal ;;Ilford ltd;;Made in UK;1965;1968;;0;IlfordSuperColorslide.jpg
;;Ilford Super-Selo;;Ilford ltd;;Made in England;20’s ?;;;0;
;;Ilford Surveillance 400 B&W;Same emulsion as P3 & P4, normal base. Derivated from HP5 with extended infrared sensitivity ?;Ilford ltd;;Made in UK;80’s?;;;0;ILfordP3.jpg
;;Ilford Surveillance 400-P3 B&W;Ultra thin base, derivated from HP5 with extended infrared sensitivity ?;Ilford ltd;;Made in UK;80’s?;;;0;ILfordP3.jpg
;;Ilford Surveillance 400-P4 B&W;Thin base, derivated from HP5 with extended infrared sensitivity ?;Ilford ltd;;Made in UK;80’s?;;;0;ILfordP4.jpg
;;Ilford Type R550 Surveillance Film (panchroline?);;Ilford ltd;;Made in UK;;;;0;
;;Ilford Type RX Fine Grain Panchromatic Film;;;;;~1950;;;0;
;;Ilford U18 (??);Gevacolor R 5 ??;Gevaert;;;;;Zeiss Ikon AG ??;0;
1737;017370;Ilford UNIVERSAL 100;;Ilford ltd;;Made in UK;;;;0;
1736;017360;Ilford UNIVERSAL 400;;Ilford ltd;;Made in UK;;;;0;
;;Ilford Universal Film;;Ilford ltd;;Made in England;1928;;;0;
;;Ilford Universal Ortho;;;;Made in England;~1930;;Ilford Limited;0;
1761;017610;Ilford XP1 400 (P1) Chromogenic (iso 400);;Ilford ltd;;Made in UK;1980;Mid-80’s ?;;0;
1762;017620;Ilford XP1 400 Chromogenic (iso 400);Improved ?;Ilford ltd;;Made in UK;Mid-80’s ?;1991;;0;IlfordXP1.jpg
1763;017630;Ilford XP2 400 Chromogenic;;Ilford ltd;;Made in UK;1991;1996;;0;IlfordXP2.jpg
1763;017630;Ilford XP2 400 Chromogenic (improved);;Ilford ltd;;Made in UK;1996;~1998;;0;IlfordXP2.jpg
1764;017640;Ilford XP2 SUPER 400;New B&W box, same film;HARMAN technology Ltd;;Made in UK;2018;;;2;IlfordXP2super2018.jpg
1764;017640;Ilford XP2 SUPER 400;;ILFORD Imaging UK Limited;;Made in UK;1998 ?;2018;;0;IlfordXP2SuperLast.jpg
;;Ilfrod Industrial X-ray Film Type A #xray;Very fast industrial X-ray film;Ilford ltd;;Made in UK;~1944;;;0;
;;Ilfrod Industrial X-ray Film Type B #xray;Fast industrial X-ray film;Ilford ltd;;Made in UK;~1944;;;0;
;;Ilfrod Industrial X-ray Film Type C #xray;High contrast industrial X-ray film;Ilford ltd;;Made in UK;~1944;;;0;
;;Ilfrod Industrial X-ray Film Type D #xray;Very fast industrial X-ray film ;Ilford ltd;;Made in UK;60’s ?;;;0;
;;Ilfrod Industrial X-ray Film Type F #xray;Slow film with extremely fine grain;Ilford ltd;;Made in UK;50’s ?;;;0;
;;Ilfrod Industrial X-ray Film Type G #xray;Very fast film for gamma radiography;Ilford ltd;;Made in UK;;;;0;
;;Illingworth’s Extra Rapid Orthochromatic;;Thomas Illingworth and Co ?;;;20’s ?;;Thomas Illingworth and Co, London;0;
;;Illingworth’s Rapid Orthochromatic;;Thomas Illingworth and Co ?;;;20’s ?;;Thomas Illingworth and Co, London;0;
;;Images LC-69 (LC69);ECN process ?;;;;;;;0;
;;Images VSF421 Professional Color Film 100~400 ISO;Variable speed color print film;;;;1983;;Images International Inc;0;ImagesVSF421.jpg
;;Imago 320 Black & White Film ARS-Imago;Unknown, Foma Retropan 320 ?;Unknown;0;Made in EU;May 2018;;ARS-Imago International SRL;0;imago320.jpg
0385;003850;IMATION CHROME 100;;Imation S.P.A (3M);;;;;;0;ImationChrome100.jpg
0388;003880;IMATION CHROME 200;;Imation S.P.A (3M);;;;;;0;
0388;003880;IMATION CHROME 400;;Imation S.P.A (3M);;;;;;0;ImationChrome400.jpg
0390;003900;IMATION CHROME 640T;;Imation S.P.A (3M);;;~1981;;;0;ImationChrome640T.jpg
1031;010314;IMATION COLOR HP100;;Imation S.P.A (3M);;;1998;;;0;ImationHP100.jpg
1361;013610;IMATION COLOR HP100;;Imation S.P.A (3M);;;1998;;;0;ImationHP100.jpg
1032;010323;IMATION COLOR HP200;;Imation S.P.A (3M);;;1998;;;0;ImationHP200.jpg
1362;013620;IMATION COLOR HP200;;Imation S.P.A (3M);;;1998;;;0;ImationHP200.jpg
1364;013640;IMATION COLOR HP400;;Imation S.P.A (3M);;;~1997 ?;;;0;
;;IMATION COLOR HP800;;Imation S.P.A (3M);;;2000 ?;;;0;
;;IMATION Color Slide CS100;;Imation S.P.A (3M);;Made in Italy;End of 90’s ?;;;0;ImationCS100.jpg
;;Imation LITH QA-5 / QA-7 #qa5 qa7;;Imation S.P.A (3M);;;;;Imation Corp;1;
;;Imation LITHOFILM A557;;Imation S.P.A (3M);;;;;Imation Corp;1;
;;Imation Type G-01 Microfilm G01;16mm only ?;Imation S.P.A (3M);;;;;Imation Corp;0;
;;IMPERIAL Excelsis Panchromatic Film H&D;;Imperial Dry Plates Co. LTD. London;;Made in UK;30’s;;;0;
;;IMPERIAL Impan Panchromatic Film;;Imperial Dry Plates Co. LTD. London;;Made in UK;30’s;;;0;
;;Induaerographic;line of aerial film…;Hindustan Photo Films Manufacturing Co. (INDU / HPF);;India;;;;0;
0145;001450;Infa Infacolor 樱花 (Sakura) SR100 ISO 100;Chinese film ? Or Konica film for China ?;;;Made in China ?;;;;0;InfacolorSR100.jpg
;;Infonal Film 30° Orhochromatico;Derivated from Gevaert products, under licence ?;Industria Fotográfica Nacional;;Made in spain;~1928;;Fabricado Por Industria Fotoquimica Nacional SA, Barcelona, ES;0;Infonal30.jpg
;;Inter Chrome ISO 100 #interdiscount interchrome;Konica Chrome R-100;Konishiroku (Konica);3;Made in Japan;1998;;Interdiscount, CH;0;
;;Interchrome Diafilm;Sakuracolor R-100 (R-4 Process);Konishiroku (Konica);3;Made in Japan;1973;End of 80’s ??;Cullmann;0;
;;Intercolor;Sakuracolor (C-22);Konishiroku (Konica);3;Made in Japan;1973;;Cullmann;0;
;;Intercolor DX200;Konica Color Centuria Super / VX200;Konica;3;Made in Japan;2002;;Interdiscount, CH;0;
;;Intercolor Platin 100;Konica Color VX 100 Super / Konica Centuria;Konica;2;Made in Japan;1996;;Interdiscount, CH;0;InterColorPalatin.jpg
0454;004544;Intercolor Platin 200;Konica Color VX 200 Super;Konica;4;Made in Japan;1996;2002;Interdiscount, CH;0;InterColorPalatin.jpg
;;Intercolor Platin 200;Konica Centuria;Konica-Minolta;3;Made in Japan;2002;;Interdiscount, CH;0;InterColorPalatin.jpg
;;Intercolor Platin 400;Konica Centuria;Konica-Minolta;3;Made in Japan;2002;;Interdiscount, CH;0;InterColorPalatin.jpg
;;International Color Film;;;;;;;;0;
;;Internity Color 200;;;;Made in UE;;;;0;Internity200.jpg
;;IPG Imaging Photo Group IMAGE PLUS Iso 200;;;;Made in Germany;;;;0;IPGimagePlus200.jpg
;;IPS Positive film 428 Polyester matte;High contrast for the printing industry;;;;;;General Photo Products Company;0;IPS428.jpg
5242;052424;Iris Color ISO 200 MilleniuM;;;;;;;Lobo Corp.;0;
;;Isokta 100 Papier Couleur;;;;Made in Spain (?);;;ORACE, France;0;Isokta.jpg
;;Isokta 200 Papier Couleur;;;;Made in Spain (?);;;ORACE, France;0;Isokta200.jpg
;;Isokta 400 Papier Couleur;;;;Made in Spain (?);;;ORACE, France;0;Isokta.jpg
1841;018410;Isokta Color FCX 100 Papier Couleur #FCX100 100FCX isoktacolor;Perutz SC 100-2 / Agfa Vista. Process AP70/C41;Agfa;2;Made in Germany;~1997 ?;;ORACE, France;0;IsoktaFCX100.jpg
1851;018510;Isokta Color FCX 200 Papier Couleur #FCX200 200FCX isoktacolor;Perutz SC 200-2 / Agfa Vista. Process AP70/C41;Agfa;2;Made in Germany;~1997 ?;;ORACE, France;0;IsoktaFCX200.jpg
1849;018493;Isokta Color FCX 400 Papier Couleur #FCX400 400FCX isoktacolor;Perutz SC 400-2 / Agfa Vista. Process AP70/C41;Agfa;4;Made in Germany;~1997 ?;;ORACE, France;0;IsoktaFCX400.jpg
;;Italian Film Inside – black paper ISO 200;Solaris Color FG Plus 200. Disposable camera ?;;2;;;;;0;ItalianFilm.jpg
1399;;Italian Film Inside – blue paper ISO 400;Solaris Color FG Plus 400. Disposable camera ?;;4;;;;;0;
;;Italian Film Inside – yellow cartridge ISO 200 from disposable camera Quick Shot;Solaris Color FG Plus 200 ? Disposable camera ?;;1;;;;;0;
;;Ivema Fotopoint HC100 High Color ISO 100;;;;Made in UE;;;Ivema;0;FotoPointHC100.jpg
;;Ivema Fotopoint HC200 High Color ISO 200;;;;Made in UE;;;Ivema;0;
;;Ivema Fotopoint ISO 200;;;;;;;Ivema;0;FotoPointISO200.jpg
;;IZO Izopanchrom Normal;130 Gost;;;USSR;;;;0;
;;J&C Classic Ortho JandC;Maco Genius;Maco;4;;;;;0;
;;J&C Classic Pan 100 #JandC classicpan #GP3;Forte 100 (then Shangai GP3?);Forte;3;;;;;0;
;;J&C Classic Pan 200 #JandC classicpan;Forte Classic Pan 200;Forte;4;;;;;0;
;;J&C Classic Pan 400 #JandC classicpan;Forte Classic Pan 400;Forte;4;;;;;0;
;;J&C ORT 25 #JandC ORT25;Efke / Maco ORT 25;Efke;4;;;;;0;
;;Jack rabbit CO. Pan Film;;;;;60’s ??;;Jack Rabbit, Co. Spartanburg, SC, USA;0;
;;Jack rabbit Color Print Film C-41;;;;;;;Jack Rabbit, Co. Spartanburg, SC, USA;0;
;;JACOBS Supergrade Colour Print Film ISO 200;;;;;;;;0;Jacobs200.jpg
